audio_file,raw_text,label,DiaID,UttID
/home/minhnhut/EmoData/MELD_audio/train_audio/dia384_utt1.wav,"Oh, its you. I see you everywhere. Im Jim, Jim Nelson.",6,384,1
/home/minhnhut/EmoData/MELD_audio/train_audio/dia888_utt3.wav,"All right, all right, if you insist on doing this, at least let me help you.",2,888,3
/home/minhnhut/EmoData/MELD_audio/train_audio/dia747_utt18.wav,"I mean come on, you remember whats its like to be 19 and in love.",0,747,18
/home/minhnhut/EmoData/MELD_audio/train_audio/dia926_utt16.wav,"Joey, we have something to tell you.",0,926,16
/home/minhnhut/EmoData/MELD_audio/train_audio/dia96_utt3.wav,"Okay, yes, we'll be right, we'll be right down.",0,96,3
/home/minhnhut/EmoData/MELD_audio/train_audio/dia875_utt6.wav,"This is a garden view room, and we paid for an ocean view room.",2,875,6
/home/minhnhut/EmoData/MELD_audio/train_audio/dia1001_utt4.wav,"If it's not you, this is a horrible story.",3,1001,4
/home/minhnhut/EmoData/MELD_audio/train_audio/dia324_utt1.wav,Ehh?,6,324,1
/home/minhnhut/EmoData/MELD_audio/train_audio/dia953_utt0.wav,Hey Mikey,0,953,0
/home/minhnhut/EmoData/MELD_audio/train_audio/dia897_utt2.wav,Crazy lady thinks her mother is in a cat.,3,897,2
/home/minhnhut/EmoData/MELD_audio/train_audio/dia617_utt6.wav,"Yeah, oh, ""Your mom probably won't kill herself,"" yknow?",2,617,6
/home/minhnhut/EmoData/MELD_audio/train_audio/dia718_utt1.wav,I do?,0,718,1
/home/minhnhut/EmoData/MELD_audio/train_audio/dia955_utt1.wav,"Yeah, but he waited until the last minute!",2,955,1
/home/minhnhut/EmoData/MELD_audio/train_audio/dia89_utt5.wav,Handling it?,0,89,5
/home/minhnhut/EmoData/MELD_audio/train_audio/dia363_utt1.wav,"No, honey, they're not, but don't worry, because we are going to find them, and until we do, we are all here for you, ok?",0,363,1
/home/minhnhut/EmoData/MELD_audio/train_audio/dia444_utt0.wav,So how did you know I was even here?,6,444,0
/home/minhnhut/EmoData/MELD_audio/train_audio/dia43_utt0.wav,"Hey, Rach, how was work?",0,43,0
/home/minhnhut/EmoData/MELD_audio/train_audio/dia679_utt13.wav,I cant even use Chandlers computer except to find porn!,2,679,13
/home/minhnhut/EmoData/MELD_audio/train_audio/dia896_utt3.wav,"I butyknow Im gonna go out with him again, Ill find out more.",0,896,3
/home/minhnhut/EmoData/MELD_audio/train_audio/dia192_utt5.wav,Ewww. Yeah. Umm. I think Im gonna stay here.,4,192,5
/home/minhnhut/EmoData/MELD_audio/train_audio/dia625_utt17.wav,"Yeah. Uh, a slicesix dollars?",0,625,17
/home/minhnhut/EmoData/MELD_audio/train_audio/dia961_utt9.wav,Really?,6,961,9
/home/minhnhut/EmoData/MELD_audio/train_audio/dia342_utt11.wav,You-you must choose Mr. Bing.,0,342,11
/home/minhnhut/EmoData/MELD_audio/train_audio/dia524_utt12.wav,Well we have to make room for the fresh ones.,0,524,12
/home/minhnhut/EmoData/MELD_audio/train_audio/dia617_utt8.wav,You gotta take care of yourselves!,0,617,8
/home/minhnhut/EmoData/MELD_audio/train_audio/dia821_utt11.wav,"Yknow how before you said it might be weird, the whole student teacher thing, and to be frank I thought it would be too, but its not.",6,821,11
/home/minhnhut/EmoData/MELD_audio/train_audio/dia465_utt4.wav,"Hello, Joey.",0,465,4
/home/minhnhut/EmoData/MELD_audio/train_audio/dia860_utt15.wav,All right.,4,860,15
/home/minhnhut/EmoData/MELD_audio/train_audio/dia1035_utt1.wav,"Im not even getting married! Okay, this is a question for science fiction writers!",0,1035,1
/home/minhnhut/EmoData/MELD_audio/train_audio/dia1019_utt10.wav,"No, to get a table! Places like this are always shakin you down. Everybody wants to be paid off.",2,1019,10
/home/minhnhut/EmoData/MELD_audio/train_audio/dia776_utt0.wav,Hey!,1,776,0
/home/minhnhut/EmoData/MELD_audio/train_audio/dia559_utt3.wav,Instead of...?,6,559,3
/home/minhnhut/EmoData/MELD_audio/train_audio/dia449_utt7.wav,"Yeah, you still have feelings for me.",3,449,7
/home/minhnhut/EmoData/MELD_audio/train_audio/dia1021_utt6.wav,Is there any chance you didnt see that?,0,1021,6
/home/minhnhut/EmoData/MELD_audio/train_audio/dia64_utt2.wav,Yeah!,0,64,2
/home/minhnhut/EmoData/MELD_audio/train_audio/dia561_utt3.wav,Oh my god.,6,561,3
/home/minhnhut/EmoData/MELD_audio/train_audio/dia17_utt1.wav,"Oh umm, my big scene is coming up. Big scene coming up.",1,17,1
